Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,longitude,latitude,easting,northing,height,speed,yaw,pitch,roll
1622864307.3483305,580878,1622864307,319999933,map,121.17667664291,31.27993554746,249.7660535085015,-310.6716837286949,0.0,13.267088890075684,2.3691048576799036,0.0,0.0
1622864307.3585925,580879,1622864307,329999924,map,121.17667563368,31.27993636682,249.67146763496567,-310.5792645532638,0.0,13.254624366760254,2.3696710844818716,0.0,0.0
1622864307.3690681,580880,1622864307,339999914,map,121.17667462356,31.2799371872,249.57679889688734,-310.48673090618104,0.0,13.254131317138672,2.3702264998592426,0.0,0.0
1622864307.3779225,580881,1622864307,349999905,map,121.176673612,31.27993800774,249.48199335334357,-310.3941772538237,0.0,13.26005744934082,2.3707903382304902,0.0,0.0
1622864307.3887572,580882,1622864307,359999895,map,121.17667260002,31.27993882773,249.38714681507554,-310.3016839106567,0.0,13.265490531921387,2.371348058768923,0.0,0.0
1622864307.3989205,580883,1622864307,369999886,map,121.17667158817,31.27993964579,249.29230911878403,-310.20940472278744,0.0,13.259748458862305,2.3718619707228266,0.0,0.0
1622864307.408697,580884,1622864307,380000114,map,121.1766705754,31.2799404645,249.1973850239301,-310.1170520298183,0.0,13.260233879089355,2.3723953375477436,0.0,0.0
1622864307.4184678,580885,1622864307,390000105,map,121.17666956129,31.27994128315,249.10233324335422,-310.024703879375,0.0,13.264223098754883,2.372929441337936,0.0,0.0
1622864307.428119,580886,1622864307,400000095,map,121.17666854621,31.27994210127,249.00718814198626,-309.932412954513,0.0,13.270380020141602,2.373483662735565,0.0,0.0
1622864307.439515,580887,1622864307,410000086,map,121.17666753117,31.2799429171,248.91204264946282,-309.84037595195696,0.0,13.266024589538574,2.3740098233054394,0.0,0.0
1622864307.448859,580888,1622864307,420000076,map,121.17666651481,31.27994373439,248.81677416316234,-309.74817502172664,0.0,13.272470474243164,2.3745638161696565,0.0,0.0
1622864307.4582164,580889,1622864307,430000067,map,121.17666549764,31.27994455133,248.7214279184118,-309.6560116149485,0.0,13.280292510986328,2.375096140282518,0.0,0.0
1622864307.4687266,580890,1622864307,440000057,map,121.17666448013,31.27994536766,248.62604818551335,-309.5639152950607,0.0,13.279081344604492,2.375616425463265,0.0,0.0
1622864307.4792666,580891,1622864307,450000048,map,121.17666346237,31.27994618342,248.5306436084211,-309.4718817677349,0.0,13.276989936828613,2.3761467524656767,0.0,0.0
1622864307.4894202,580892,1622864307,460000038,map,121.17666244314,31.27994699762,248.43509621580597,-309.38001886196434,0.0,13.280706405639648,2.3766576448428944,0.0,0.0
1622864307.4984581,580893,1622864307,470000029,map,121.17666142305,31.27994781286,248.33946885395562,-309.2880393108353,0.0,13.285721778869629,2.377181695204984,0.0,0.0
1622864307.5087826,580894,1622864307,480000019,map,121.17666040197,31.27994862754,248.24374620965682,-309.19612028077245,0.0,13.29128360748291,2.37770003490212,0.0,0.0
